Date,Price
"Jul 06, 2015",3.181
"Jul 13, 2015",3.166
"Jul 20, 2015",3.033
"Jul 27, 2015",2.907
"Aug 03, 2015",2.779
"Aug 10, 2015",2.783
"Aug 17, 2015",3.476
"Aug 24, 2015",3.35
"Aug 31, 2015",3.06
"Sep 07, 2015",2.894
"Sep 14, 2015",2.751
"Sep 21, 2015",2.745
"Sep 28, 2015",2.808
"Oct 05, 2015",2.749
"Oct 12, 2015",2.837
"Oct 19, 2015",2.7
"Oct 26, 2015",2.556
"Nov 02, 2015",2.544
"Nov 09, 2015",2.472
"Nov 16, 2015",2.348
"Nov 23, 2015",2.161
"Nov 30, 2015",2.125
"Dec 07, 2015",2.142
"Dec 14, 2015",2.251
"Dec 21, 2015",2.186
"Dec 28, 2015",2.22
"Jan 04, 2016",2.185
"Jan 11, 2016",2.164
"Jan 18, 2016",2.019
"Jan 25, 2016",1.904
"Feb 01, 2016",1.798
"Feb 08, 2016",1.689
"Feb 15, 2016",1.723
"Feb 22, 2016",1.852
"Feb 29, 2016",1.976
"Mar 07, 2016",2.074
"Mar 14, 2016",2.276
"Mar 21, 2016",2.169
"Mar 28, 2016",2.259
"Apr 04, 2016",2.329
"Apr 11, 2016",2.234
"Apr 18, 2016",2.368
"Apr 25, 2016",2.495
"May 02, 2016",2.558
"May 09, 2016",2.454
"May 16, 2016",2.542
"May 23, 2016",2.617
"May 30, 2016",2.658
"Jun 06, 2016",2.759
"Jun 13, 2016",2.899
"Jun 20, 2016",2.77
"Jun 27, 2016",2.628
"Jul 04, 2016",2.535
"Jul 11, 2016",2.455
"Jul 18, 2016",2.491
"Jul 25, 2016",2.339
"Aug 01, 2016",2.35
"Aug 08, 2016",2.442
"Aug 15, 2016",2.38
"Aug 22, 2016",2.479
"Aug 29, 2016",2.556
"Sep 05, 2016",2.437
"Sep 12, 2016",2.491
"Sep 19, 2016",2.428
"Sep 26, 2016",2.445
"Oct 03, 2016",2.487
"Oct 10, 2016",2.543
"Oct 17, 2016",2.416
"Oct 24, 2016",2.399
"Oct 31, 2016",2.298
"Nov 07, 2016",2.372
"Nov 14, 2016",2.267
"Nov 21, 2016",2.295
"Nov 28, 2016",2.367
"Dec 05, 2016",2.425
"Dec 12, 2016",2.539
"Dec 19, 2016",2.509
"Dec 26, 2016",2.632
"Jan 02, 2017",2.718
"Jan 09, 2017",2.663
"Jan 16, 2017",2.559
"Jan 23, 2017",2.491
"Jan 30, 2017",2.4
"Feb 06, 2017",2.425
"Feb 13, 2017",2.509
"Feb 20, 2017",2.438
"Feb 27, 2017",2.483
"Mar 06, 2017",2.55
"Mar 13, 2017",2.476
"Mar 20, 2017",2.527
"Mar 27, 2017",2.5
"Apr 03, 2017",2.61
"Apr 10, 2017",2.726
"Apr 17, 2017",2.683
"Apr 24, 2017",2.707
"May 01, 2017",2.607
"May 08, 2017",2.55
"May 15, 2017",2.629
"May 22, 2017",2.675
"May 29, 2017",2.669
"Jun 05, 2017",2.616
"Jun 12, 2017",2.526
"Jun 19, 2017",2.528
"Jun 26, 2017",2.441
"Jul 03, 2017",2.498
"Jul 10, 2017",2.577
"Jul 17, 2017",2.49
"Jul 24, 2017",2.49
"Jul 31, 2017",2.586
"Aug 07, 2017",2.567
"Aug 14, 2017",2.59
"Aug 21, 2017",2.474
"Aug 28, 2017",2.6
"Sep 04, 2017",2.741
"Sep 11, 2017",2.825
"Sep 18, 2017",2.676
"Sep 25, 2017",2.559
"Oct 02, 2017",2.683
"Oct 09, 2017",2.597
"Oct 16, 2017",2.679
"Oct 23, 2017",2.743
"Oct 30, 2017",2.792
"Nov 06, 2017",2.989
"Nov 13, 2017",2.912
"Nov 20, 2017",2.904
"Nov 27, 2017",2.745
"Dec 04, 2017",2.621
"Dec 11, 2017",2.665
"Dec 18, 2017",2.704
"Dec 25, 2017",2.811
"Jan 01, 2018",2.844
"Jan 08, 2018",2.795
"Jan 15, 2018",2.863
"Jan 22, 2018",2.755
"Jan 29, 2018",2.775
"Feb 05, 2018",2.797
"Feb 12, 2018",2.708
"Feb 19, 2018",2.626
"Feb 26, 2018",2.677
"Mar 05, 2018",2.688
"Mar 12, 2018",2.72
"Mar 19, 2018",2.873
"Mar 26, 2018",2.878
"Apr 02, 2018",2.918
"Apr 09, 2018",2.943
"Apr 16, 2018",2.946
"Apr 23, 2018",3.035
"Apr 30, 2018",3.063
"May 07, 2018",3.119
"May 14, 2018",3.148
"May 21, 2018",3.265
"May 28, 2018",3.308
"Jun 04, 2018",3.322
"Jun 11, 2018",3.21
